Country Name,Country Code,2010,2011,2012
"Egypt, Arab Rep.",EGY,87.10560512,101.0763385,115.2938083
El Salvador,SLV,124.3394914,133.5393339,138.0718692
Equatorial Guinea,GNQ,57.00877069,66.48866377,67.67003704
Eritrea,ERI,3.526578342,4.467709888,5.470176471
Estonia,EST,123.23911,138.983109,154.545882
Ethiopia,ETH,8.262854643,16.67172011,23.7164741
Faeroe Islands,FRO,122.0456599,122.7922968,124.2995415
Fiji,FJI,81.09474183,83.7166026,98.057482
Finland,FIN,156.3972049,166.0238042,172.5086703
France,FRA,92.03275681,94.75667782,98.14399896
French Polynesia,PYF,79.73364258,81.38996336,81.66775677
Gabon,GAB,106.9438439,154.4864567,187.3553671
"Gambia, The",GMB,85.53298611,78.88973781,83.63712388
Georgia,GEO,91.44707879,102.3404341,109.1585909
Germany,DEU,127.0435825,132.2987788,131.3049164
Ghana,GHA,71.48686263,84.77929582,100.2837555
Greece,GRC,108.2167583,106.4789464,116.9441253
Greenland,GRL,100.0925021,102.5237364,103.7609075
Grenada,GRD,116.7092557,119.1724664,121.5539918
Guam,GUM,,,
Guatemala,GTM,125.5685534,131.9962587,137.3211247
Guinea,GIN,40.07377582,44.02352304,45.61713853
Guinea-Bissau,GNB,47.18774254,56.17858636,69.44655464
Guyana,GUY,74.27464536,69.93770171,72.20570125
Haiti,HTI,40.02703025,41.48645166,59.43017328
Honduras,HND,125.0581013,103.9658854,93.14969909
"Hong Kong SAR, China",HKG,195.5672675,214.7223037,227.9328836
Hungary,HUN,120.3150052,117.2968185,116.3809379
Iceland,ISL,106.5412825,106.0792438,105.3946206
India,IND,61.4226033,71.99905491,68.71850699
Indonesia,IDN,88.08496671,102.4885612,115.1957716
"Iran, Islamic Rep.",IRN,73.06896255,74.92520816,76.91595827
Iraq,IRQ,73.45512892,78.12351236,79.38743144
Ireland,IRL,105.1807423,108.4084545,107.1284232
Isle of Man,IMN,,,
Israel,ISR,122.8162407,121.6578152,119.8881823
Italy,ITA,154.6898237,157.9915502,159.4806259
Jamaica,JAM,116.0866339,108.1214042,96.53844468
Japan,JPN,97.43251165,104.951795,109.4342569
Jordan,JOR,106.9946197,118.2047588,139.1341219
Kazakhstan,KAZ,121.0667396,155.7425147,175.3914846
Kenya,KEN,61.63228344,67.48607201,71.88812255
Kiribati,KIR,10.64332068,13.63892653,15.58542763
"Korea, Dem. Rep.",PRK,1.774069405,4.089764607,6.923608005
"Korea, Rep.",KOR,105.3621105,108.504517,110.3648374
Kosovo,KSV,,,
Kuwait,KWT,145.397686,175.0917836,191.1083767
Kyrgyz Republic,KGZ,98.89869621,116.4026867,124.7750723
Lao PDR,LAO,64.56157773,87.16314805,101.8523254
Latvia,LVA,102.3995808,102.9359711,103.375501
Lebanon,LBN,67.74534091,79.51814866,93.20274696
Lesotho,LSO,45.47689468,56.17329955,59.17089564
Liberia,LBR,39.34051088,49.16775098,56.39133561
Libya,LBY,171.5154666,155.6960141,148.1877185
Liechtenstein,LIE,98.52353464,101.8345086,103.8705445
Lithuania,LTU,147.1585875,151.2979213,151.7793415
Luxembourg,LUX,143.265911,148.2675345,145.4660445
"Macao SAR, China",MAC,206.4285136,243.4980233,284.3391648
"Macedonia, FYR",MKD,104.5066324,107.2353557,108.1612263
Madagascar,MDG,37.22983676,40.72585982,39.05436747
Malawi,MWI,20.92072521,25.69144252,27.82629528
Malaysia,MYS,119.2165055,127.0352554,140.9350818
Maldives,MDV,156.4971429,165.7233638,172.84136
Mali,MLI,48.40907912,68.32225788,89.54548215
Malta,MLT,109.3787739,124.8634096,128.682385
Marshall Islands,MHL,,,
Mauritania,MRT,80.23792312,93.59676864,111.0623603
Mauritius,MUS,91.66607655,99.04384916,113.0915366
Mexico,MEX,80.56871634,82.39437251,86.77462037
"Micronesia, Fed. Sts.",FSM,24.77670532,24.7440426,24.62131349
Moldova,MDA,88.5853309,101.2008077,115.937329
Monaco,MCO,66.12816675,89.73099613,93.65477937
Mongolia,MNG,90.28009279,104.6466045,117.6225928
Montenegro,MNE,185.276093,181.5705856,177.9404421
Morocco,MAR,100.0966061,113.264873,119.6873872
Mozambique,MOZ,30.88473592,32.82674824,33.12939072
Myanmar,MMR,1.238454332,2.572822264,11.16484031
Namibia,NAM,85.50450688,96.39325061,103.0032147
Nepal,NPL,30.69344863,43.80556809,52.81973376
Netherlands,NLD,115.4458187,118.9895664,117.522628
New Caledonia,NCL,88.01809702,89.20554439,89.280538
New Zealand,NZL,107.8263131,109.1854156,110.3276498
Nicaragua,NIC,68.45430925,82.17461442,89.77483745
Niger,NER,23.65031018,29.51571828,32.41666731
Nigeria,NGA,55.10417598,58.57504542,67.68181156
Northern Mariana Islands,MNP,,,
Norway,NOR,114.6663674,115.6169084,115.5488519
Oman,OMN,165.5432382,168.9741036,181.7329118
Pakistan,PAK,57.13688061,61.61096141,66.76881125
Palau,PLW,70.88706526,74.94298607,82.62356682
Panama,PAN,188.9874375,188.6048749,186.7344222
Papua New Guinea,PNG,27.8361615,34.21811396,37.7818366
Paraguay,PRY,91.73156664,99.40262991,101.6573537
Peru,PER,101.9045648,110.4136635,98.83717634
Philippines,PHL,89.15872455,99.30182306,106.7673268
Poland,POL,122.6651202,130.9702311,132.6823096
Portugal,PRT,114.376794,115.3880623,115.0693506
Puerto Rico,PRI,78.2603616,82.98893133,81.74732461
Qatar,QAT,124.315198,123.1109371,134.106751
Romania,ROU,113.3741943,109.2529352,106.1366778
Russian Federation,RUS,166.2648829,179.3087029,183.5182139
Rwanda,RWA,33.40323164,40.63067089,50.48668419
Samoa,WSM,,,
San Marino,SMR,96.99689224,111.7535844,112.6936923
Sao Tome and Principe,STP,62.11116284,68.26127719,70.98057925
Saudi Arabia,SAU,187.8614596,191.2426942,184.6788935
Senegal,SEN,67.10551333,73.25495968,87.50910993
Serbia,SRB,122.0803535,125.392874,92.80270047
Seychelles,SYC,135.9104464,145.7130031,158.6251993
Sierra Leone,SLE,34.08585819,35.63159631,36.0730929
Singapore,SGP,145.1827199,150.2390258,153.3975182
Sint Maarten (Dutch part),SXM,,,
Slovak Republic,SVK,108.4746048,109.3494803,111.2061459
Slovenia,SVN,104.5460368,106.5619269,110.0785909
Solomon Islands,SLB,21.46249731,49.77157788,53.33753471
Somalia,SOM,6.946831979,6.853706228,6.716036681
South Africa,ZAF,100.4770987,126.8331905,134.7976985
South Sudan,SSD,,,18.82321761
Spain,ESP,111.52946,113.2229166,108.3190127
Sri Lanka,LKA,83.21838179,87.04729881,95.76187773
St. Kitts and Nevis,KNA,152.6659288,154.5682457,156.4333203
St. Lucia,LCA,113.7404098,122.9976597,127.6758496
St. Martin (French part),MAF,,,
St. Vincent and the Grenadines,VCT,120.5409163,120.5221049,123.881061
Sudan,SDN,41.544029,56.13899685,60.49285856
Suriname,SUR,169.6414276,178.8753331,182.8988627
Swaziland,SWZ,61.19458103,63.7015615,65.96154729
Sweden,SWE,117.1937507,121.3278144,122.6194874
Switzerland,CHE,125.8319005,130.9145915,135.2520505
Syrian Arab Republic,SYR,57.80921938,63.1668575,61.21886911
Tajikistan,TJK,86.36655779,90.64122215,92.21960641
Tanzania,TZA,46.79589492,55.53287704,57.1157323
Thailand,THA,103.7673348,111.6316903,120.2925445
Timor-Leste,TLS,42.07034255,53.22698066,52.30821584
Togo,TGO,40.68538793,50.4457081,55.99154047
Tonga,TON,52.18243672,52.62704647,53.38875595
Trinidad and Tobago,TTO,141.2068149,135.6408066,139.4288967
Tunisia,TUN,106.0421333,116.9302374,119.9564631
Turkey,TUR,84.90400135,88.70464879,90.83567759
Turkmenistan,TKM,63.41981696,68.77165519,76.46537683
Turks and Caicos Islands,TCA,,,
Tuvalu,TUV,16.28167294,21.63095359,28.37741968
Uganda,UGA,38.37961305,48.3841688,45.9178506
Ukraine,UKR,118.6596541,122.9835354,132.0501538
United Arab Emirates,ARE,145.4535397,148.6188563,169.9416213
United Kingdom,GBR,130.7564225,130.7519369,130.7507732
United States,USA,91.8597762,95.2752888,98.16610391
Uruguay,URY,131.7138578,140.7518858,147.2966255
Uzbekistan,UZB,76.34260339,91.64821433,72.20763996
Vanuatu,VUT,70.90936403,55.75953,54.43549989
"Venezuela, RB",VEN,96.20520902,97.77526778,102.1000817
Vietnam,VNM,127.003046,143.3891012,149.4099973
Virgin Islands (U.S.),VIR,,,
West Bank and Gaza,PSE,64.45799061,69.47754402,71.20460823
"Yemen, Rep.",YEM,46.08665855,47.04861475,54.36214567
Zambia,ZMB,41.61639507,60.59055913,75.80665991
Zimbabwe,ZWE,61.24987611,72.13209456,96.92828576
